ker_string
s
r
p
l
s+s
s*s
r+s
r+r
r*s
r*r
p+s
p+r
p+p
p*s
p*r
p*p
l+s
l+r
l+p
l+l
l*s
l*r
l*p
l*l
s+s+s
s+s*s
s+s*r
s+s*p
s+s*l
s*s+s
s*s+r
s*s+p
s*s+l
s*s*s
r+s+s
r+s*s
r+s*r
r+s*p
r+s*l
r+r+s
r+r+r
r+r*s
r+r*r
r+r*p
r+r*l
r*s+s
r*s+r
r*s+p
r*s+l
r*s*s
r*r+s
r*r+r
r*r+p
r*r+l
r*r*s
r*r*r
p+s+s
p+s*s
p+s*r
p+s*p
p+s*l
p+r+s
p+r+r
p+r*s
p+r*r
p+r*p
p+r*l
p+p+s
p+p+r
p+p+p
p+p*s
p+p*r
p+p*p
p+p*l
p*s+s
p*s+r
p*s+p
p*s+l
p*s*s
p*r+s
p*r+r
p*r+p
p*r+l
p*r*s
p*r*r
p*p+s
p*p+r
p*p+p
p*p+l
p*p*s
p*p*r
p*p*p
l+s+s
l+s*s
l+s*r
l+s*p
l+s*l
l+r+s
l+r+r
l+r*s
l+r*r
l+r*p
l+r*l
l+p+s
l+p+r
l+p+p
l+p*s
l+p*r
l+p*p
l+p*l
l+l+s
l+l+r
l+l+p
l+l+l
l+l*s
l+l*r
l+l*p
l+l*l
l*s+s
l*s+r
l*s+p
l*s+l
l*s*s
l*r+s
l*r+r
l*r+p
l*r+l
l*r*s
l*r*r
l*p+s
l*p+r
l*p+p
l*p+l
l*p*s
l*p*r
l*p*p
l*l+s
l*l+r
l*l+p
l*l+l
l*l*s
l*l*r
l*l*p
l*l*l
